,Nameabv,Name_long,Date,Title,Sen_len,Dialogue,Compound,neg,neu,pos,Textblob_Polarity,Textblob_Subjectivity,difference
4777,BKO,Barack Obama,04-Dec-13,Speech on Economic Mobility,281,"And while we donÕt promise equal outcomes, we have strived to deliver equal opportunity -- the idea that success doesnÕt depend on being born into wealth or privilege, it depends on effort and merit.",0.946,0.0,0.618,0.382,0.09999999999999999,0.16666666666666666,0.846
7935,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"But then, when both retired, Jefferson at 68 to Monticello and Adams at 76 to Quincy, they began through their letters to speak again to each other, letters that discussed almost every conceivable subject: gardening, horseback riding, even sneezing as a cure for hiccups -- [laughter] -- but other subjects as well: the loss of loved ones; the mystery of grief and sorrow; the importance of religion; and, of course, the last thoughts, the final hopes of two old men, two great patriarchs, for the country that they had helped to found and loved so deeply.",0.9442,0.096,0.695,0.21,0.0986111111111111,0.46666666666666673,0.845588888888889
16376,JFK,John F. Kennedy,14-Jan-63,State of the Union Address,219,"For the road to world peace and freedom is still long, and there are burdens which only full partners can share--in supporting the common defense, in expanding world trade, in aligning our balance of payments, in aiding the emergent nations, in concerting political and economic policies, and in welcoming to our common effort other industrialized nations, notably Japan, whose remarkable economic and political development of the 1950's permits it now to play on the world scene a major constructive role.",0.9552,0.026,0.751,0.222,0.10982142857142858,0.4232142857142857,0.8453785714285714
13036,RMN,Richard M. Nixon,29-Apr-74,Address to the Nation on Presidential Tape Recordings,178,"Some were close advisers, valued friends, others whom I had trusted.",0.8442,0.0,0.435,0.565,0.0,0.0,0.8442
8018,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,We are determined that the U.N. should succeed and serve the cause of peace for humankind.,0.8442,0.0,0.588,0.412,0.0,0.0,0.8442
13515,RMN,Richard M. Nixon,20-Jan-72,State of the Union Address,172,"We are providing broader support for the arts, helping stimulate a deeper appreciation of what they can contribute to the nation's activities and to our individual lives.",0.8442,0.0,0.685,0.315,0.0,0.4,0.8442
6568,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,Somehow he has found the strength to honor his son by transforming his grief into action.,0.4939,0.142,0.575,0.283,-0.35000000000000003,0.15000000000000002,0.8439000000000001
14554,LBJ,Lyndon B. Johnson,14-Jan-69,State of the Union Address,285,I am so grateful that I have been supported daily by the loyalty of Speaker McCormack and Majority Leader Albert.,0.8439,0.0,0.623,0.377,0.0,0.0,0.8439
10049,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,We knew we had little time and that complete secrecy was vital to ensure both the safety of the young men who would undertake this mission and the Americans they were about to rescue.,0.872,0.0,0.733,0.267,0.028125000000000004,0.42500000000000004,0.843875
6362,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"We restored the vital center, replacing outmoded ideologies with a new vision anchored in basic, enduring values: opportunity for all, responsibility from all, a community of all Americans.",0.8779,0.0,0.634,0.366,0.03409090909090909,0.26988636363636365,0.843809090909091
8461,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"Fourth and finally, our nation has remained at peace for nearly a decade and a half, as we move toward our goals of world prosperity and world freedom.",0.8271,0.0,0.757,0.243,-0.016666666666666663,0.39166666666666666,0.8437666666666666
11538,JCa,Jimmy Carter,22-Oct-76,Debate with President Gerald Ford,308,At the other extreme just I percent of the richest people in our country derive 25 percent of all the tax benefits.,0.7184,0.0,0.76,0.24,-0.125,0.6875,0.8434
6543,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"If there is any single issue on which we should be able to reach across party lines, it is in our common commitment to reward work and strengthen families.",0.886,0.0,0.659,0.341,0.04285714285714287,0.44642857142857145,0.8431428571428572
4874,BKO,Barack Obama,04-Dec-13,Speech on Economic Mobility,281,"And itÕs also true that some programs in the past, like welfare before it was reformed, were sometimes poorly designed, created disincentives to work.",0.743,0.0,0.742,0.258,-0.10000000000000002,0.5,0.843
7707,BCl,Bill Clinton,04-Feb-97, State of the Union Address,281,"Together with South Korea, we must advance peace talks with North Korea and bridge the cold war's last divide.",0.5423,0.0,0.837,0.163,-0.3,0.5333333333333333,0.8423
8511,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"I'm also certain you join me in saying: Let's help ensure our future of prosperity by giving the President a tool that, though I will not get to use it, is one I know future Presidents of either party must have.",0.9136,0.0,0.685,0.315,0.07142857142857142,0.2738095238095238,0.8421714285714286
16190,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"So, let us not be blind to our differencesÑbut let us also direct attention to our common interests and to the means by which those differences can be resolved.",0.607,0.0,0.814,0.186,-0.2333333333333333,0.5222222222222223,0.8403333333333333
10098,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,"Well, if you've been a marine or if, like myself, you're an admirer of the marines, you know those words are a battle-cry, a greeting, and a legend in the Marine Corps.",0.8402,0.0,0.706,0.294,0.0,0.0,0.8402
16337,JFK,John F. Kennedy,14-Jan-63,State of the Union Address,219,"As the idealism of our youth has served world peace, so can it serve the domestic tranquility.",0.8402,0.0,0.609,0.391,0.0,0.1,0.8402
3058,DTr,Donald Trump,23-Apr-20,Task Force Briefing on the Coronavirus Pandemic,326,"He will outline, as the President said, encouraging news about the impact that heat and sunlight have on the coronavirus, which will increase the confidence that we feel about the coming summer.",0.8402,0.0,0.763,0.237,0.0,0.0,0.8402
12240,GFo,Gerald Ford,19-Jan-76,State of the Union Address,274,Only from a position of strength can we negotiate a balanced agreement to limit the growth of nuclear arms.,0.8402,0.0,0.609,0.391,0.0,1.0,0.8402
10728,JCa,Jimmy Carter,14-Aug-80,Acceptance Speech at the Democratic National Convention,251,We've learned the beauty and responsibility of freedom.,0.8402,0.0,0.429,0.571,0.0,0.0,0.8402
13876,RMN,Richard M. Nixon,22-Jan-71,State of the Union Address,192,Let us leave a heritage as they didÑnot just for our children but for millions yet unbornÑof a nation where every American will have a chance not only to live in peace and to enjoy prosperity and opportunity but to participate in a system of government where he knows not only his votes but his ideas countÑa system of government which will provide the means for America to reach heights of achievement undreamed of before.,0.946,0.013,0.788,0.199,0.10727272727272727,0.6,0.8387272727272727
10616,JCa,Jimmy Carter,14-Aug-80,Acceptance Speech at the Democratic National Convention,251,"It's only common sense that if America is to stay secure and at peace, we must encourage others to be peaceful as well.",0.926,0.0,0.554,0.446,0.08750000000000001,0.65,0.8385
13643,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,"Looking ahead in that area:
ÑWhile continuing to help our friends help themselves, we must begin to consider how regional associations can work together with the major powers in the area for a durable peace.",0.9001,0.0,0.714,0.286,0.0625,0.5,0.8376
16881,JFK,John F. Kennedy,07-Dec-61,Address in Miami at the Opening of the AFL-CIO Convention,155,"And as long as the labor movement is strong and as long as it is committed to freedom, then I think that freedom in this country is strengthened.",0.9485,0.0,0.57,0.43,0.1111111111111111,0.5111111111111111,0.837388888888889
7459,BCl,Bill Clinton,20-Jan-97,Second Inaugural,110,"Yes, let us build our bridge, a bridge wide enough and strong enough for every American to cross over to a blessed land of new promise.",0.9042,0.0,0.621,0.379,0.06709956709956709,0.3696969696969697,0.8371004329004329
5044,GWB,George W. Bush,12-Jan-09,Final Press Conference,401,"And in terms of the timing, if you do that before you leave office, sir, are you motivated in part to make life a little easier for President-Elect Obama?",0.6494,0.038,0.788,0.174,-0.1875,0.5,0.8369
9369,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"And while we have our friends down memory lane, maybe they'd like to recall a gimmick they designed for their 1976 campaign.",0.6808,0.0,0.772,0.228,-0.15555555555555559,0.2888888888888889,0.8363555555555555
6393,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"One nation, under God, indivisible, with liberty and justice for all.",0.836,0.0,0.473,0.527,0.0,0.0,0.836
14297,RMN,Richard M. Nixon,23-Sep-52,"""Checkers"" Speech",246,"Because, folks, remember, a man that's to be President of the United States, a man that's to be Vice President of the United States must have the confidence of all the people.",0.836,0.0,0.752,0.248,0.0,0.0,0.836
15595,LBJ,Lyndon B. Johnson,17-Nov-67, Press Conference,332,It has been almost two centuries since our Revolution and since we won our freedom.,0.836,0.0,0.622,0.378,0.0,0.0,0.836
14104,RMN,Richard M. Nixon,03-Nov-69, Address to the Nation on the War in Vietnam,222,And the Wheel of destiny has turned so that any hope the world has for the survival of peace and freedom will be determined by whether the American people have the moral stamina and the courage to meet the challenge of free world leadership.,0.9693,0.0,0.607,0.393,0.13333333333333333,0.35000000000000003,0.8359666666666667
11823,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"Common sense told me to stick to the steady course we were on, to continue to restrain the inflationary growth of government, to reduce taxes as well as spending, to return local decisions to local officials, to provide for long-range sufficiency in energy and national security needs.",0.802,0.0,0.824,0.176,-0.03333333333333333,0.25,0.8353333333333334
17108,JFK,John F. Kennedy,06-Dec-61,Address to the National Association of Manufacturers,182,"Third, to encourage a greater movement of funds in this direction, and to discourage transfers in these other directions, we have set up a new program to attract foreign visitors; secured passage of a tax exemption encouraging foreign central banks to invest their capital in U.S. securities; kept our own short-term interest rates high enough to avoid unnecessary outflows; and urged our Allies to free their own private capital for investment here.",0.9509,0.058,0.679,0.264,0.1158116883116883,0.496038961038961,0.8350883116883117
6859,BCl,Bill Clinton,19-Jan-99,State of the Union Address,303,"And I ask Congress to support our bold new plan to help businesses raise up to $15 billion in private sector capital to bring jobs and opportunities to our inner cities and rural areas with tax credits, loan guarantees, including the new ""American Private Investment Company,"" modeled on the Overseas Private Investment Company.",0.9022,0.0,0.782,0.218,0.06734006734006732,0.31860269360269355,0.8348599326599326
6659,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"And second, it will plainly advance the cause of peace in Asia and promote the cause of change in China.",0.7269,0.0,0.747,0.253,-0.10714285714285714,0.17857142857142858,0.8340428571428571
16219,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"Our interests converge, however, not only in defending the frontiers of freedom, but in pursuing the paths of peace.",0.8338,0.0,0.644,0.356,0.0,1.0,0.8338
3545,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Look, I'm not suggesting that cold analysis and hard data are ultimately more important in life than passion, or faith, or love, or loyalty.",0.9348,0.04,0.514,0.446,0.10166666666666668,0.7283333333333333,0.8331333333333333
13063,RMN,Richard M. Nixon,29-Apr-74,Address to the Nation on Presidential Tape Recordings,178,"I considered long and hard whether it might in fact be better to let the payment go forward, at least temporarily, in the hope that this national security matter would not be exposed in the course of uncovering the Watergate coverup.",0.7976,0.03,0.74,0.229,-0.035416666666666666,0.4604166666666667,0.8330166666666666
12310,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"The chances for an enduring peace after the last American fighting man left Vietnam in 1973 rested on two publicly stated premises: first, that if necessary, the United States would help sustain the terms of the Paris accords it signed 2 years ago, and second, that the United States would provide adequate economic and military assistance to South Vietnam.",0.9001,0.036,0.739,0.225,0.06833333333333333,0.21000000000000002,0.8317666666666667
11975,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"We must have the wisdom, the stamina, and the courage to prepare today for the perils of tomorrow, and I believe we will.",0.8316,0.0,0.683,0.317,0.0,0.0,0.8316
14896,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,I wish--with all of my heart--that the expenditures that are necessary to build and to protect our power could all be devoted to the programs of peace.,0.8316,0.0,0.723,0.277,0.0,1.0,0.8316
10109,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,"God bless you, and God bless America.",0.8316,0.0,0.234,0.766,0.0,0.0,0.8316
9891,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,"God bless you, and God bless America.",0.8316,0.0,0.234,0.766,0.0,0.0,0.8316
8627,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,Our approach is not to seek agreement for agreement's sake but to settle only for agreements that truly enhance our national security and that of our allies.,0.831,0.053,0.668,0.279,0.0,1.0,0.831
5901,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"So I ask you to join me in expanding their access to child care, creating new hiring preferences for military spouses across the federal government, and allowing our troops to transfer their unused education benefits to their spouses or children.",0.8481,0.0,0.774,0.226,0.018181818181818174,0.2772727272727273,0.8299181818181818
9932,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,"A little over a year ago, hoping to build on the Camp David accords, which had led to peace between Israel and Egypt, I proposed a peace plan for the Middle East to end the wars between the Arab States and Israel.",0.7351,0.076,0.717,0.207,-0.09375,0.25,0.82885
10150,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,"A little over a year ago, hoping to build on the Camp David accords, which had led to peace between Israel and Egypt, I proposed a peace plan for the Middle East to end the wars between the Arab States and Israel.",0.7351,0.076,0.717,0.207,-0.09375,0.25,0.82885
16822,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,A satisfactory settlement in Laos would also help to achieve and safeguard the peace in Viet-Nam--where the foe is increasing his tactics of terror--where our own efforts have been stepped up--and where the local government has initiated new programs and reforms to broaden the base of resistance.,0.8126,0.053,0.743,0.205,-0.01590909090909093,0.6136363636363636,0.8285090909090909
14772,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,But the United States will never accept a fake solution to this long and arduous struggle and call it peace.,0.528,0.228,0.459,0.313,-0.3,0.75,0.8280000000000001
12370,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"But because of their military successes, steady external support, and their awareness of American legal restrictions, the Communist side has shown no interest in negotiation, compromise, or a political solution.",0.872,0.057,0.601,0.342,0.044444444444444446,0.16666666666666666,0.8275555555555556
14680,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,"We ask that talks begin promptly, that they be serious talks on the substance of peace.",0.4939,0.069,0.745,0.186,-0.3333333333333333,0.6666666666666666,0.8272333333333333
15845,LBJ,Lyndon B. Johnson,17-Nov-67, Press Conference,332,We have tried several times to get the United Nations to play a part in trying to bring peace in Vietnam.,0.8271,0.0,0.661,0.339,0.0,0.0,0.8271
7893,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"For the cause of peace and freedom in the eighties, that power made all the difference.",0.8271,0.0,0.645,0.355,0.0,0.0,0.8271
6648,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,Our purpose must be to bring together the world around freedom and democracy and peace and to oppose those who would tear it apart.,0.8271,0.0,0.741,0.259,0.0,0.0,0.8271
9831,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,We must have the courage to give peace a chance.,0.8271,0.0,0.408,0.592,0.0,0.0,0.8271
16244,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"Finally, my fellow Americans, let us examine our attitude toward peace and freedom here at home.",0.8271,0.0,0.645,0.355,0.0,1.0,0.8271
13922,RMN,Richard M. Nixon,03-Nov-69, Address to the Nation on the War in Vietnam,222,I had to think of the effect of my decision on the next generation and on the future of peace and freedom in America and in the world.,0.8271,0.0,0.765,0.235,0.0,0.0625,0.8271
7790,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"I will not recite all of this here again today, but I do want you to know I found in the delegates afterward a warmth that I had not seen before -- let me assure you, not due to any eloquence on my part but just a simple perception on their part that there is a chance for an opening, a new course in human events.",0.8765,0.0,0.83,0.17,0.04971590909090909,0.32167207792207797,0.8267840909090909
9348,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"Well, if I could paraphrase Will, our friends in the other party have never met a tax they didn't like or hike.",0.6994,0.081,0.615,0.304,-0.125,0.375,0.8244
9595,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"She has arms big enough to comfort and strong enough to support, for the strength in her arms is the strength of her people.",0.9313,0.0,0.56,0.44,0.10833333333333332,0.4583333333333333,0.8229666666666667
16802,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,"Last month in Latin America I saw for myself the quickening of hope, the revival of confidence, the new trust in our country--among workers and farmers as well as diplomats.",0.891,0.0,0.683,0.317,0.06818181818181818,0.2606060606060606,0.8228181818181819
8168,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"And so, if future generations do say of us that in our time peace came closer, that we did bring about new seasons of truth and justice, it will be cause for pride.",0.891,0.0,0.714,0.286,0.06818181818181818,0.2897727272727273,0.8228181818181819
9633,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,Hope is reborn for couples dreaming of owning homes and for risktakers with vision to create tomorrow's opportunities.,0.8225,0.0,0.593,0.407,0.0,0.0,0.8225
7496,BCl,Bill Clinton,04-Feb-97, State of the Union Address,281,"It will balance the budget and provide middle class tax relief to pay for education and health care, to help to raise a child, to buy and sell a home.",0.8225,0.041,0.698,0.262,0.0,0.0,0.8225
1003,JBi,Joe Biden,06-Jan-22,Remarks on the Anniversary of the January 6th Assault on the US Capitol,181,"I believe the power of the presidency and the purpose is to unite this nation, not divide it; to lift us up, not tear us apart; to be about usÑabout us, not about Òme.Ó

Deep in the heart of America burns a flame lit almost 250 years agoÑof liberty, freedom, and equality.",0.8225,0.0,0.863,0.137,0.0,0.4,0.8225
1228,JBi,Joe Biden,15-Nov-21,Signing the Infrastructure Investment and Jobs Act,225,"God bless you all, and may God protect our troops.",0.8225,0.0,0.385,0.615,0.0,0.0,0.8225
16677,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,They require progress in those programs that spur our growth and fortify our strength.,0.8225,0.0,0.561,0.439,0.0,0.0,0.8225
16454,JFK,John F. Kennedy,14-Jan-63,State of the Union Address,219,But our commitment to national safety is not a commitment to expand our military establishment indefinitely.,0.7217,0.094,0.525,0.382,-0.1,0.1,0.8217
11350,JCa,Jimmy Carter,09-Mar-77,Remarks at President Carter's Press Conference,277,But that doesn't mean that everything that we do in gathering intelligence on which our security might very well depend has to be revealed to the public.,0.7841,0.0,0.753,0.247,-0.0375,0.3513888888888889,0.8216
12665,GFo,Gerald Ford,08-Oct-74,"""Whip Inflation Now"" Speech",215,"The executive branch, in my judgment, must join with the Congress in giving critically needed attention to the structure and the operation of our thrift institutions which now find themselves for the third time in 8 years in another period of serious mortgage credit scarcity.",0.7096,0.027,0.825,0.148,-0.1111111111111111,0.48888888888888893,0.8207111111111112
12333,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"In the conduct of foreign affairs, Presidential initiative and ability to act swiftly in emergencies are essential to our national interest.",0.7579,0.0,0.706,0.294,-0.0625,0.2125,0.8204
16247,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"But wherever we are, we must all, in our daily lives, live up to the age-old faith that peace and freedom walk together.",0.8885,0.0,0.656,0.344,0.06818181818181818,0.25,0.8203181818181817
10561,JCa,Jimmy Carter,14-Aug-80,Acceptance Speech at the Democratic National Convention,251,"I see a future of justiceÑthe justice of good jobs, decent health care, quality education, a full opportunity for all people regardless of color or language or religion; the simple human justice of equal rights for all men and for all women, guaranteed equal rights at last under the Constitution of the United States of America.",0.9552,0.0,0.718,0.282,0.13518518518518519,0.3294973544973545,0.8200148148148149
16580,JFK,John F. Kennedy,11-Jun-62,Yale University Commencement,155,Corporate plans are not based on a political confidence in party leaders but on an economic confidence in the Nation's ability to invest and produce and consume.,0.886,0.0,0.659,0.341,0.06666666666666667,0.10000000000000002,0.8193333333333334
14738,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,These projected increases in expenditures for our national security will bring into sharper focus the Nation's need for immediate action: action to protect the prosperity of the American people and to protect the strength and the stability of our American dollar.,0.8689,0.0,0.774,0.226,0.05,0.05,0.8189
11331,JCa,Jimmy Carter,09-Mar-77,Remarks at President Carter's Press Conference,277,"There are other penalties that can be used without criminal charges, and I think that Vice President Mondale drew that distinction.",0.5559,0.0,0.797,0.203,-0.2625,0.4625,0.8184
6615,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,And I want to thank tonight the leaders and the members from both parties whoÕve expressed to me an interest in working with us on these efforts.,0.8176,0.0,0.698,0.302,0.0,0.0,0.8176
12407,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"We will continue the process of strengthening our friendship, mutual security, and prosperity.",0.8176,0.0,0.541,0.459,0.0,0.0,0.8176
15095,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,If ever there were a time to know the pride and the excitement and the hope of being an American--it is this time.,0.8176,0.0,0.691,0.309,0.0,0.0,0.8176
13137,RMN,Richard M. Nixon,29-Apr-74,Address to the Nation on Presidential Tape Recordings,178,"I hope and I trust that when you have seen the evidence in its entirety, you will see the truth of that statement.",0.8176,0.0,0.679,0.321,0.0,0.0,0.8176
11706,JCa,Jimmy Carter,22-Oct-76,Debate with President Gerald Ford,308,"And we won the nomination by going out into the streets, barbershops, beauty parlors, restaurants, stores, in factory shift lines, also in farmers' markets and livestock sale barns, and we talked a lot and we listened a lot, and we learned from the American people.",0.8176,0.0,0.845,0.155,0.0,0.0,0.8176
8610,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"So, too, in Afghanistan, the freedom fighters are the key to peace.",0.8176,0.067,0.503,0.43,0.0,1.0,0.8176
3753,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,"And finally, how can we make our politics reflect whatÕs best in us, and not whatÕs worst?",0.8173,0.0,0.667,0.333,0.0,0.7666666666666666,0.8173
3509,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Qualities like kindness and compassion, honesty, hard work -- they often matter more than technical skills or know-how.",0.886,0.053,0.458,0.489,0.06944444444444443,0.38055555555555554,0.8165555555555556
10108,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,I would like to ask you allÑwherever you may be in this blessed landÑto pray for these wounded young men and to pray for the bereaved families of those who gave their lives for our freedom.,0.9157,0.065,0.604,0.332,0.1,0.4,0.8157
10284,JCa,Jimmy Carter,28-Oct-80,Debate with Ronald Reagan,309,"Well, yes, I question the figure about the decline in defense spending under the two previous administrations, in the preceding 8 years to this administration.",0.6486,0.0,0.76,0.24,-0.16666666666666666,0.16666666666666666,0.8152666666666666
9706,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,I would hope the leadership might agree on an expedited timetable in which to develop and enact that down payment.,0.6597,0.0,0.759,0.241,-0.15555555555555559,0.2888888888888889,0.8152555555555555
12759,GFo,Gerald Ford,15-Jan-75,State of the Union Address,223,Not only are we still the foremost nation in the pursuit of peace but today's prospects of attaining it are infinitely brighter.,0.8151,0.0,0.692,0.308,0.0,1.0,0.8151
10279,JCa,Jimmy Carter,28-Oct-80,Debate with Ronald Reagan,309,"But in doing this, we have made sure that we address this question peacefully, not injecting American military forces into combat, but letting the strength of our Nation be felt in a beneficial way.",0.8834,0.041,0.671,0.288,0.06875,0.37222222222222223,0.81465
7166,BCl,Bill Clinton,27-Jan-98,State of the Union Address,287,"We should also offer help and hope to those Americans temporarily left behind by the global marketplace or by the march of technology, which may have nothing to do with trade.",0.6808,0.0,0.838,0.162,-0.13333333333333333,0.2333333333333333,0.8141333333333333
11843,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"Thanks to American leadership, the prospects for peace in the Middle East are brighter than they have been in three decades.",0.8807,0.0,0.603,0.397,0.06666666666666667,0.06666666666666667,0.8140333333333334
9004,RRe,Ronald Reagan,07-Oct-84,Debate with Walter Mondale (Domestic Issues),349,"So, we believe that as we continue to reduce the level of government spendingÑthe increase, rate of increase in government spending, which has come down from 17 to 6 percent, and, at the same time, as the growth in the economy increases the revenues the Government gets, without raising taxes, those two lines will meet.",0.7351,0.0,0.876,0.124,-0.07777777777777779,0.20694444444444446,0.8128777777777778
405,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,The Vice President and I are doing everything we can to protect access to reproductive health care and safeguard patient privacy.,0.8126,0.0,0.669,0.331,0.0,0.0,0.8126
16243,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"Nor would such a treaty be a substitute for disarmament, but I hope it will help us achieve it.",0.8126,0.0,0.654,0.346,0.0,0.5,0.8126
13525,RMN,Richard M. Nixon,20-Jan-72,State of the Union Address,172,"And those hopes, those dreams, that have been brought here from every corner of the world, have become a part of the hope that we now hold out to the world.",0.8126,0.0,0.763,0.237,0.0,0.0,0.8126
16239,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,Our hopes must be tempered with the caution of historyÑbut with our hopes go the hopes of all mankind.,0.8126,0.0,0.656,0.344,0.0,0.0,0.8126
1658,DTr,Donald Trump,26-Sep-20,Announcing His Nominee for the US Supreme Court,153,I am deeply honored by the confidence that you have placed in me.,0.8122,0.0,0.575,0.425,0.0,0.4,0.8122
9566,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"Moving south toward Atlanta, over to St. Louis, past its Gateway Arch, across wheatfields into the stark beauty of the Southwest and then up into the still, snowcapped Rockies.",0.5859,0.0,0.881,0.119,-0.225,0.425,0.8109
5960,GWB,George W. Bush,23-Jan-07,State of the Union Address,285,"When it comes to health care, government has an obligation to care for the elderly, the disabled, and poor children, and we will meet those responsibilities.",0.5106,0.095,0.708,0.197,-0.30000000000000004,0.44999999999999996,0.8106000000000001
13914,RMN,Richard M. Nixon,03-Nov-69, Address to the Nation on the War in Vietnam,222,ÑNo progress had been made at the negotiations in Paris and the United States had not put forth a comprehensive peace proposal.,0.8105,0.062,0.611,0.327,0.0,0.0,0.8105
1392,JBi,Joe Biden,01-Jun-21,Remarks Commemorating the 100th Anniversary of the Tulsa Race Massacre,336,"And thereÕs greater recognition that, for too long, weÕve allowed a narrowed, cramped view of the promise of this nation to festerÑthe view that America is a zero-sum game where there is only one winner.",0.8225,0.0,0.777,0.223,0.012499999999999997,0.575,0.81
6292,GWB,George W. Bush,11-Jan-07,Address on Military Operations in Iraq,159,We will expand intelligence-sharing and deploy Patriot air defense systems to reassure our friends and allies.,0.8074,0.0,0.563,0.437,0.0,0.0,0.8074
7336,BCl,Bill Clinton,27-Jan-98,State of the Union Address,287,"The airwaves are a public trust, and broadcasters also have to help us in this effort to strengthen our democracy.",0.8074,0.0,0.658,0.342,0.0,0.06666666666666667,0.8074
9615,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,Some questioned whether we had the will to defend peace and freedom.,0.8074,0.077,0.497,0.425,0.0,0.0,0.8074
16743,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,Both the successes and the setbacks of the past year remain on our agenda of unfinished business.,0.5574,0.0,0.816,0.184,-0.25,0.25,0.8074
6344,GWB,George W. Bush,11-Jan-07,Address on Military Operations in Iraq,159,"And throughout our history, Americans have always defied the pessimists and seen our faith in freedom redeemed.",0.8074,0.082,0.535,0.383,0.0,0.0,0.8074
3864,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,"And over the past seven years, weÕve nurtured that spirit.",0.5574,0.0,0.635,0.365,-0.25,0.25,0.8074
10106,RRe,Ronald Reagan,27-Oct-83,Speech to the Nation on Lebanon and Grenada,304,We cannot and will not dishonor them now and the sacrifices they've made by failing to remain as faithful to the cause of freedom and the pursuit of peace as they have been.,0.8074,0.077,0.676,0.247,0.0,0.0,0.8074
6519,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"For people making under $30,000 a year, that could mean up to $2,400 for child care costs.",0.4939,0.0,0.824,0.176,-0.3125,0.6875,0.8064
13221,RMN,Richard M. Nixon,25-Feb-74,The President's News Conference,201,"And I can say, based on the conversations I have had with the foreign ministers I met with last week and based on the reports I have received to date, I believe we are going to make continued progress on the peace front.",0.743,0.0,0.851,0.149,-0.0625,0.09583333333333333,0.8055
